,composite_element_ref,methyl_itensity,unmethyl_intensity,detection_p_value
0,cg00000292,6647.439379160191,8485.43937916019,0.0
1,cg00002426,1414.4830009053,4355.43937916019,0.0
2,cg00003994,217.986503187021,4734.43937916019,0.0
3,cg00005847,4991.485522468271,1741.54630452318,0.0
4,cg00006414,314.946401918189,7161.485522468271,0.0
5,cg00007981,286.706202647458,9575.43937916019,0.0
6,cg00008493,17287.4855224683,253.369998237934,0.0
7,cg00008713,334.370982215438,30109.4855224683,0.0
8,cg00009407,285.92459011982896,27068.4855224683,0.0
9,cg00010193,23013.4855224683,14349.485522468301,0.0
10,cg00011459,5846.439379160191,305.498696870628,0.0
11,cg00012199,236.56527440288798,17593.4855224683,0.0
12,cg00012386,502.25938021509904,19816.4393791602,0.0
13,cg00012792,376.098349815203,20695.4393791602,0.0
14,cg00013618,9405.48552246827,6609.485522468271,0.0
15,cg00014085,220.85619705058997,17278.4855224683,0.0
16,cg00014837,3080.4393791601897,285.651326262129,0.0
17,cg00015770,16860.4855224683,25752.4855224683,0.0
18,cg00016968,20580.4855224683,16800.4855224683,0.0
19,cg00019495,2291.43937923482,6652.439379160191,0.0
20,cg00020533,5232.43937916019,313.72652498727,0.0
21,cg00021527,400.54280319223,18553.4393791602,0.0
22,cg00022606,268.16480264655104,21817.4855224683,0.0
23,cg00022866,33258.4855224683,11877.485522468301,0.0
24,cg00024396,286.443796734814,13443.485522468301,0.0
25,cg00024812,329.19558581533,16062.485522468301,0.0
26,cg00025138,236.948363498554,19097.4855224683,0.0
27,cg00025991,11925.485522468301,11807.485522468301,0.0
28,cg00027083,2858.4855225423,27799.4855224683,0.0
29,cg00027674,1764.4398449610699,2292.43937923344,0.0
30,cg00029826,192.869403323331,2537.43937916077,0.0
31,cg00029931,6262.439379160191,11155.4393791602,0.0
32,cg00030047,10019.4855224683,17090.4855224683,0.0
33,cg00031162,2720.4393791601997,2195.43937959501,0.0
34,cg00032227,198.13233662335702,19290.4393791602,0.0
35,cg00032666,1844.4395223914998,2140.4393803135,0.0
36,cg00033516,437.33817735733805,15099.4393791602,0.0
37,cg00033773,17499.4393791602,4326.43937916019,0.0
38,cg00034039,1387.6292430966,39427.4855224683,0.0
39,cg00035347,393.074852487906,2377.43937917462,0.0
40,cg00035623,2179.4861669196202,14630.485522468301,0.0
41,cg00037763,6991.439379160191,3333.4393791601897,0.0
42,cg00037940,8733.48552246827,834.987983687702,0.0
43,cg00040861,238.297344803456,18630.4855224683,0.0
44,cg00040873,3233.4855224684397,29854.4855224683,0.0
45,cg00041575,4149.485522468271,3088.48552247023,0.0
46,cg00042156,5326.43937916019,8657.43937916019,0.0
47,cg00043004,279.096103869683,17970.4393791602,0.0
48,cg00043080,7296.485522468271,493.371540899708,0.0
49,cg00044245,440.87972269657007,18157.4855224683,0.0
50,cg00044729,2847.4393791601897,994.1845360052259,0.0
51,cg00047050,593.947680631004,10331.4855224683,0.0
52,cg00047469,386.120466853287,29536.4855224683,0.0
53,cg00049986,1761.53602298322,15734.485522468301,0.0
54,cg00050312,177.433763440157,14759.4393791602,0.0
55,cg00051623,1510.45326465927,745.8733578334401,0.0
56,cg00051979,235.422182811629,8890.48552246827,0.0
57,cg00053292,308.44964856574904,11303.485522468301,0.0
58,cg00053647,954.715350244689,29226.4855224683,0.0
59,cg00054706,288.272484792672,16651.4855224683,0.0
60,cg00055233,18152.4855224683,24502.4855224683,0.0
61,cg00056767,253.45484383010898,12440.4393791602,0.0
62,cg00057593,2411.4393791676002,3382.4393791601897,0.0
63,cg00058938,8130.485522468271,19006.4855224683,0.0
64,cg00059225,9780.48552246827,27339.4855224683,0.0
65,cg00059424,218.219929831756,10883.4393791602,0.0
66,cg00059740,252.090425284826,19876.4855224683,0.0
